id,website,make,model,version,fuel,year,kms,power,doors,shift,color,photos,price,location,publish_date,dealer_id,dealer_is_professional
980683,website_4,dodge,challenger,Deportivo  Automático de 3 Puertas,Gas,2023,33165,303,3,Automático,BLACK / METALIZADO,18,500009,Sevilla,2024-02-14,a3d2de7675556553a5f08e4c88d2c228,0
103937,website_4,rolls-royce,phantom,VIII,Gas,2020,22146,0,4,Automático,BLANCO,29,501900,Madrid,2023-12-03,b65f865c54d5a32a5990d5c44a5575a4,1
228474,website_4,mercedes-benz,clase-g,Clase G 63 AMG 4Matic 9G-Tronic,Gas,2023,30,585,5,Automático,AZUL,29,501900,Madrid,2023-03-25,b65f865c54d5a32a5990d5c44a5575a4,1
333642,website_4,volkswagen,touareg,3.0TDI V6 Elegance Tiptronic 4M 170kW,Diésel,2021,85542,231,5,Automático,BLANCO,38,501904,Madrid,2024-03-14,97c81649fa58303996aaf556b17043ca,1
667906,website_2,PORSCHE,911,PORSCHE 911 Turbo S 2p.,Gasolina,2023,7500,0,0,,,47,502000,Murcia,2024-04-02,119549fb250878c3c837c8ecc6ebd86a,1
204732,website_4,mazda,cx-60,3.3L MHEV Homura DRI-P COM-P 2WD 147kW Aut.,Diésel,2023,6200,200,0,Automático,Blanco,17,502002,Girona,2023-08-03,a3d2de7675556553a5f08e4c88d2c228,0
240879,website_4,porsche,911,GT3 RS,Gas,2023,1980,525,2,Automático,BLANCO,29,502900,Madrid,2023-08-12,b65f865c54d5a32a5990d5c44a5575a4,1
773083,website_4,audi,e-tron,Sportback 55 quattro Black line edition,Eléctrico,2021,14841,408,5,Automático,GRIS PLATA,20,503001,Madrid,2024-01-30,40b67e0534ef4d718d685e031398703d,1
772701,website_4,audi,a6,55 TFSIe Sport quattro-ultra S tronic,Híbrido,2020,16575,367,4,Automático,GRIS PLATA,20,504001,Madrid,2024-01-25,40b67e0534ef4d718d685e031398703d,1
295738,website_4,mercedes-benz,clase-glc,Clase GLC 300 de 4MATIC,Híbrido,2021,43448,306,5,Automático,NEGRO OBSIDIANA METALIZADO / METALIZADO,6,504901,Madrid,2024-03-15,abf32f86fa9d093661debbeb5af7fae6,1
227132,website_4,ferrari,812,GTS,Gas,2023,4300,799,2,Automático,GRIS,6,505000,Murcia,2024-01-25,f1264148fe6940c1a7e12473be27845a,1
266187,website_4,ferrari,488,Pista,Gas,2020,800,721,2,Automático,ROSSO CORSA,0,505000,Murcia,2023-12-15,f1264148fe6940c1a7e12473be27845a,1
761092,website_4,audi,a3,S3 Sportback quattro S tronic,Gas,2022,22507,310,5,Automático,NEGRO,50,505002,Tarragona,2024-03-12,b2d9345f9737dbb693fb8d56ea4cbe40,1
332832,website_4,porsche,macan,Aut.,Gas,2018,70000,252,5,Automático,NEGRO / METALIZADO,132,505004,Girona,2024-04-11,e948947bd6936f547bc0a294273dc1d3,1
531402,website_4,mercedes-benz,eqb,250,Eléctrico,2023,1834,190,5,Automático,BLANCO,17,507007,Barcelona,2024-03-14,5b0c95b213ac0964637172e3bada81d9,1
332540,website_4,mercedes-benz,eqb,250+,Eléctrico,2023,9635,190,5,Automático,BLANCO,18,507009,Barcelona,2024-03-31,5b0c95b213ac0964637172e3bada81d9,1
332539,website_4,mercedes-benz,eqb,250+,Eléctrico,2023,10374,190,5,Automático,ROJO / METALIZADO,18,507009,Barcelona,2024-03-31,5b0c95b213ac0964637172e3bada81d9,1
332537,website_4,mercedes-benz,eqb,250+,Eléctrico,2023,9377,190,5,Automático,ROJO / METALIZADO,18,507009,Barcelona,2024-03-11,5b0c95b213ac0964637172e3bada81d9,1
332538,website_4,mercedes-benz,eqb,250+,Eléctrico,2023,8710,190,5,Automático,ROJO / METALIZADO,17,507009,Barcelona,2024-03-11,5b0c95b213ac0964637172e3bada81d9,1
227813,website_4,lamborghini,huracan,Huracán STO RWD,Gas,2023,62,640,2,Automático,AZUL,22,508900,Madrid,2023-12-17,b65f865c54d5a32a5990d5c44a5575a4,1
835653,website_4,ferrari,sf90,Stradale,Híbrido Enchufable,2021,3900,1000,2,Automático,BLUE WATERS,3,509000,Murcia,2023-12-15,f1264148fe6940c1a7e12473be27845a,1
997666,website_4,tesla,model-s,2019,Eléctrico,2019,59760,422,0,Automático,Pinturanegrasólida/Metalizado,15,509001,Madrid,2023-12-30,a3d2de7675556553a5f08e4c88d2c228,0
228661,website_4,mercedes-benz,eqa,250 +,Eléctrico,2023,5000,190,5,Automático,PLATA IRIDIO METALIZADO / METALIZADO,11,509001,Valencia,2024-04-24,d55974ca9182d224ce669ff4c018f777,1
144498,website_4,volvo,xc60,Recharge Core 2.0 T6 AWD Auto,Híbrido,2023,15100,350,5,Automático,GRIS,41,509002,Alicante,2024-03-08,ed1b866fe3a8e9cf831c56afd4d996e4,1
